,mean_esi_post,mean_et_post,mean_wue_post,percent_non-fire_post,percent_fire_low_post,percent_fire_nominal_post,percent_fire_high_post
mean_esi_post,0.11,0.0,0.0,0.0,0.0,0.0,0.0
mean_et_post,0.0,0.031,0.0,0.0,0.0,0.0,0.0
mean_wue_post,0.0,0.0,0.834,0.073,0.0,0.0,0.0
percent_non-fire_post,0.0,0.0,0.283,0.587,0.0,0.0,0.0
percent_fire_low_post,0.0,0.0,0.0,0.0,,0.23,0.493
percent_fire_nominal_post,0.0,0.0,0.0,0.0,0.0,0.0,0.0
percent_fire_high_post,0.0,0.0,0.0,0.0,0.005,0.919,0.368
