,mean_esi_post,mean_et_post,mean_wue_post,percent_non-fire_post,percent_fire_low_post,percent_fire_nominal_post,percent_fire_high_post
mean_esi_pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_et_pre,0.0,0.668,0.0,0.0,0.0,0.0,0.0
mean_wue_pre,0.0,0.0,0.027,0.002,0.0,0.0,0.0
percent_non-fire_pre,0.0,0.0,0.676,0.006,0.0,0.0,0.0
percent_fire_low_pre,0.0,0.0,0.0,0.0,0.156,0.017,0.651
percent_fire_nominal_pre,0.0,0.0,0.0,0.0,0.03,1.0,0.106
percent_fire_high_pre,0.0,0.0,0.0,0.0,0.007,0.289,0.021
