,mean_esi_post,mean_et_post,mean_wue_post,percent_non-fire_post,percent_fire_low_post,percent_fire_nominal_post,percent_fire_high_post
mean_esi_post,0.783,0.0,0.0,0.0,0.0,0.0,0.0
mean_et_post,0.0,0.49,0.0,0.0,0.0,0.0,0.0
mean_wue_post,0.0,0.0,0.971,0.04,0.0,0.0,0.0
percent_non-fire_post,0.0,0.0,0.031,0.869,0.0,0.0,0.0
percent_fire_low_post,0.0,0.0,0.0,0.0,,0.019,0.18
percent_fire_nominal_post,0.0,0.0,0.0,0.0,0.011,0.817,0.194
percent_fire_high_post,0.0,0.0,0.0,0.0,0.206,0.489,0.796
