,mean_esi_post,mean_et_post,mean_wue_post,percent_non-fire_post,percent_fire_low_post,percent_fire_nominal_post,percent_fire_high_post
mean_esi_post,0.244,0.0,0.0,0.0,0.0,0.0,0.0
mean_et_post,0.0,0.171,0.0,0.0,0.0,0.0,0.0
mean_wue_post,0.0,0.0,0.183,0.125,0.0,0.0,0.0
percent_non-fire_post,0.0,0.0,0.038,0.769,0.0,0.0,0.0
percent_fire_low_post,0.0,0.0,0.0,0.0,,0.242,0.561
percent_fire_nominal_post,0.0,0.0,0.0,0.0,0.0,0.0,0.0
percent_fire_high_post,0.0,0.0,0.0,0.0,0.0,0.425,0.192
