,mean_esi_post,mean_et_post,mean_wue_post,percent_non-fire_post,percent_fire_low_post,percent_fire_nominal_post,percent_fire_high_post
mean_esi_pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_et_pre,0.0,0.173,0.0,0.0,0.0,0.0,0.0
mean_wue_pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0
percent_non-fire_pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0
percent_fire_low_pre,0.0,0.0,0.0,0.0,0.083,0.0,0.06
percent_fire_nominal_pre,0.0,0.0,0.0,0.0,0.0,0.188,0.085
percent_fire_high_pre,0.0,0.0,0.0,0.0,0.0,0.068,0.0
